C.Wt%,0.249,,eq.strain,eq.stress.MPa,,eq.stress.MPa,theta,,eq.stress.MPa,d.theta/d.stress,d.theta/d.stress(normalised),,eq.stress.MPa,relative.austenite.fraction
,,,0.001159328,206.5233884,,213.1443778,149469.7907,,219.358352,24.47229721,0.081574324,,,
,,,0.001169316,208.2162477,,214.6630302,154979.2893,,221.2184083,26.08000328,0.086933344,,,
,,,0.001189293,209.9236517,,218.294009,156147.5482,,223.0815599,24.5888867,0.081962956,,,
,,,0.001199281,211.5917667,,219.8592845,151595.0778,,224.9503102,51.69530185,0.172317673,,,
,,,0.001209269,213.2102567,,221.3522807,154329.9743,,226.8165342,84.85109874,0.282836996,,,
,,,0.001219256,214.8411937,,222.7158033,159467.3676,,228.6867687,92.97738034,0.309924601,,,
,,,0.001239232,218.0634375,,225.9659026,153503.0456,,230.562623,21.89210583,0.072973686,,,
,,,0.001249219,219.756547,,227.4573411,158811.9502,,232.4395097,7.954250294,0.026514168,,,
,,,0.001259207,221.5142492,,227.3936409,158073.3602,,234.3154608,58.71132757,0.195704425,,,
,,,0.001269194,223.2570882,,230.6770371,167507.7031,,236.1908506,76.80222974,0.256007432,,,
,,,0.001289169,224.9649624,,234.3902263,154333.9192,,238.0647877,26.61356072,0.088711869,,,
,,,0.001299156,226.6333938,,234.3067642,157895.5588,,239.939259,11.67603401,0.038920113,,,
,,,0.001299156,228.2623314,,235.7182497,149944.2267,,241.8229516,19.44423675,0.064814123,,,
,,,0.00131913,231.512415,,237.1159069,150542.6803,,243.7071801,47.25385468,0.157512849,,,
,,,0.001339103,233.0938939,,241.854384,163017.2444,,245.5883684,12.01279771,0.040042659,,,
,,,0.001339103,234.6483995,,242.0025797,144609.3654,,247.4670046,15.08348576,0.050278286,,,
,,,0.00134909,236.1158666,,243.4689491,142191.9819,,249.3426089,56.08411557,0.186947052,,,
,,,0.001359076,237.635512,,244.7877563,149887.4989,,251.2173662,85.174794,0.28391598,,,
,,,0.001389035,240.5854127,,246.1979217,155199.46,,253.092749,137.9852413,0.459950804,,,
,,,0.001389035,242.1772463,,249.4925482,150611.6155,,254.9782432,83.29662251,0.277655408,,,
,,,0.001399021,243.7839312,,250.9425964,159421.0202,,256.869358,68.87186734,0.229572891,,,
,,,0.001409007,245.3509135,,252.5267827,167995.9135,,258.7640817,77.57335494,0.25857785,,,
,,,0.001418993,246.9328277,,254.2953566,174877.5006,,260.668381,26.69073557,0.088969119,,,
,,,0.001438964,248.4775193,,258.2274739,167254.0394,,262.578183,32.49465502,0.108315517,,,
,,,0.00144895,250.0967646,,258.1825285,168698.2862,,264.4401387,78.59400373,0.261980012,,,
,,,0.001458935,253.4197461,,259.6301418,152069.4305,,266.3088014,2.740440896,0.009134803,,,
,,,0.001468921,255.1384153,,261.0355112,153930.9613,,268.255936,45.64075284,0.152135843,,,
,,,0.001488891,256.8224294,,265.6692947,176103.0386,,270.2116374,60.82007557,0.202733585,,,
,,,0.001488891,258.4765122,,267.5088161,158547.256,,272.1703778,57.33548898,0.191118297,,,
,,,0.001498876,260.0586834,,269.1029553,155397.2288,,274.1372064,59.93993808,0.199799794,,,
,,,0.001508861,261.7029776,,269.1079637,156746.2565,,276.106559,55.58736122,0.185291204,,,
,,,0.001538815,265.1557529,,270.9485571,172629.4015,,278.0082999,62.12426362,0.207080879,,,
,,,0.0015488,266.8622573,,274.0675398,150890.6054,,279.9734259,24.39508289,0.081316943,,,
,,,0.001558784,268.543958,,275.3128473,140175.4576,,281.9410747,36.83802015,0.122793401,,,
,,,0.001558784,270.2229942,,277.9127031,137608.6281,,283.9123458,67.13433318,0.223781111,,,
,,,0.001568769,271.8550691,,280.7521526,160579.8432,,285.8917312,33.08107302,0.110270243,,,
,,,0.001588737,273.5023264,,282.4862533,158601.8035,,287.8721524,18.31010693,0.06103369,,,
,,,0.001598721,275.1469021,,284.1550095,148092.1921,,289.7802777,38.24820427,0.127494014,,,
,,,0.001618689,278.6497699,,285.6550997,154106.9113,,291.7514062,50.60315225,0.168677174,,,
,,,0.001638657,280.3717639,,285.8691315,173441.6969,,293.7260557,13.91542367,0.046384746,,,
,,,0.00164864,282.0164901,,289.0649388,157551.7311,,295.7039365,0.428171124,0.001427237,,,
,,,0.001658624,283.7233497,,293.366236,146237.9715,,297.6868292,31.88585646,0.106286188,,,
,,,0.001668607,285.3805623,,293.2004021,146467.2618,,299.6737598,49.62457636,0.165415255,,,
,,,0.001668607,287.1343046,,296.2049086,138681.8344,,301.729542,75.68739259,0.252291309,,,
,,,0.001688574,288.8938149,,297.725489,142702.2681,,303.711038,70.74112883,0.235803763,,,
,,,0.001718522,292.4622944,,299.1293002,143227.7173,,305.6881246,25.33659642,0.084455321,,,
,,,0.001718522,294.2434502,,300.5817394,134371.6757,,307.6627691,28.9381658,0.096460553,,,
,,,0.001738488,295.9013364,,304.7808137,133870.3507,,309.6323878,13.63233154,0.045441105,,,
,,,0.001748471,297.6482355,,305.9887287,133894.6774,,311.6035402,29.59244794,0.098641493,,,
,,,0.001758453,299.3305783,,307.3346849,130422.1948,,313.5720038,36.46699633,0.121556654,,,
,,,0.001768435,300.9632686,,309.8989752,130547.6791,,315.6063358,41.04421274,0.136814042,,,
,,,0.001798382,304.2665648,,311.2233859,134048.1129,,317.5636695,6.150050364,0.020500168,,,
,,,0.001808364,306.0136518,,312.4019092,133573.4127,,319.5117593,34.0906912,0.113635637,,,
,,,0.001818346,307.7582891,,316.6098303,136514.3844,,321.457389,25.20793802,0.08402646,,,
,,,0.001838309,309.5433177,,318.0691064,139381.2374,,323.395409,11.02234087,0.036741136,,,
,,,0.001848291,311.2135073,,319.4070899,140021.3845,,325.3262943,11.09386923,0.036979564,,,
,,,0.001858272,312.858885,,320.9160644,137044.8972,,327.3165124,66.08716018,0.220290534,,,
,,,0.001888216,316.1404712,,323.8624523,138479.7947,,329.2404498,58.14710873,0.193823696,,,
,,,0.001898197,317.9101947,,326.4210692,131741.0973,,331.1604975,38.40213863,0.128007129,,,
,,,0.001908178,319.6700148,,327.6044739,133128.2088,,333.0735323,7.627502278,0.025425008,,,
,,,0.001918159,321.4273854,,330.2880978,128646.521,,334.9760509,12.30013232,0.041000441,,,
,,,0.001938121,323.1755929,,331.6110572,133166.5772,,336.8710573,50.82233127,0.169407771,,,
,,,0.001958082,326.5414575,,332.7761636,131006.1243,,338.7601862,58.8598283,0.196199428,,,
,,,0.001968062,328.1871681,,334.2403081,130417.2493,,340.6448021,52.70479231,0.175682641,,,
,,,0.001988023,329.7989306,,337.0522546,134368.4685,,342.5214097,14.68016411,0.04893388,,,
,,,0.001998003,331.3826009,,339.5898866,130022.1819,,344.393781,7.958225162,0.026527417,,,
,,,0.002007983,332.9638179,,341.0675846,119977.6564,,346.2567529,10.36889645,0.034562988,,,
,,,0.002017963,334.6593729,,343.2936066,114371.5258,,348.1095992,12.21988725,0.040732957,,,
,,,0.002037922,336.3458935,,344.4352711,116600.1152,,349.9476683,14.01626667,0.046720889,,,
,,,0.002057881,339.7521159,,345.381354,107487.4248,,351.7831961,16.6752271,0.05558409,,,
